;Майкоп(Республика Адыгея);87722
;Гиагинская(Республика Адыгея);87779
;Кошехабль(Республика Адыгея);87770
;Красногвардейское(Республика Адыгея);87778
;Тахтамукай(Республика Адыгея);87771
;Тульский(Республика Адыгея);87777
;Шовгеновский(Республика Адыгея);87773
;Абадзехская(Республика Адыгея);8772
;Адамий(Республика Адыгея);87778
;Адыгейск(Республика Адыгея);87772
;Ассоколай(Республика Адыгея);87772
;Афипсип(Республика Адыгея);87771
;Безводная(Республика Адыгея);8772
;Белое(Республика Адыгея);87778
;Бжедугхабль(Республика Адыгея);87778
;Блечепсин(Республика Адыгея);87770
;Большесидоровское(Республика Адыгея);87778
;Верхненазаровское(Республика Адыгея);87778
;Веселый(Республика Адыгея);8772
;Вольное(Республика Адыгея);87770
;Вочепший(Республика Адыгея);87772
;Габукай(Республика Адыгея);87772
;Гиагинская(Республика Адыгея);87779
;Гавердовский(Республика Адыгея);8772
;Гатлукай(Республика Адыгея);87772
;Гончарка(Республика Адыгея);87779
;Городской(Республика Адыгея);87772
;Грозный(Республика Адыгея);8772
;Гузерипль(Республика Адыгея);8772
;Дагестанская(Республика Адыгея);8772
;Даховская(Республика Адыгея);8772
;Джамбичи(Республика Адыгея);87778
;Джерокай(Республика Адыгея);87773
;Джиджихабль(Республика Адыгея);87772
;Дондуковская(Республика Адыгея);87779
;Дружба(Республика Адыгея);87770
;Дукмасов(Республика Адыгея);87773
;Егерухай(Республика Адыгея);87770
;Еленовское(Республика Адыгея);87778
;Зарево(Республика Адыгея);87773
;Игнатьевский(Республика Адыгея);87770
;Кабехабль(Республика Адыгея);87773
;Казенно-Кужорский(Республика Адыгея);87770
;Каменномостский(Республика Адыгея);8772
;Келермесская(Республика Адыгея);87779
;Козет(Республика Адыгея);87771
;Кошехабль(Республика Адыгея);87770
;Красная Улька(Республика Адыгея);8772
;Красногвардейское(Республика Адыгея);87778
;Красное(Республика Адыгея);87772
;Краснооктябрьский(Республика Адыгея);8772
;Кужорская(Республика Адыгея);8772
;Кунчукохабль(Республика Адыгея);87772
;Курджипская(Республика Адыгея);8772
;Майкоп(Республика Адыгея);8772
;Майский(Республика Адыгея);87770
;Мамацев(Республика Адыгея);87773
;Михайлов(Республика Адыгея);87773
;Натырбово(Республика Адыгея);87770
;Нешукай(Республика Адыгея);87772
;Нижний Айрюм(Республика Адыгея);87779
;Новопрохладное(Республика Адыгея);8772
;Новосвободная(Республика Адыгея);8772
;Новосевастопольское(Республика Адыгея);87778
;Новый Сад(Республика Адыгея);87771
;Отрадный(Республика Адыгея);87771
;Панахес(Республика Адыгея);87771
;Первомайский(Республика Адыгея);8772
;Плодопитомник(Республика Адыгея);87770
;Победа(Республика Адыгея);8772
;Подгорный(Республика Адыгея);8772
;Понежукай(Республика Адыгея);87772
;Преображенское(Республика Адыгея);87778
;Прикубанский(Республика Адыгея);87771
;Прогресс(Республика Адыгея);87779
;Псейтук(Республика Адыгея);87771
;Псекупс(Республика Адыгея);87772
;Пчегатлукай(Республика Адыгея);87772
;Пшизов(Республика Адыгея);87773
;Родниковый(Республика Адыгея);8772
;Садовое(Республика Адыгея);87778
;Саратовский(Республика Адыгея);87778
;Свободный(Республика Адыгея);87778
;Свободный Труд(Республика Адыгея);87773
;Севастопольская(Республика Адыгея);8772
;Северный(Республика Адыгея);8772
;Северо-Восточные Сады(Республика Адыгея);8772
;Семено-Макаренский(Республика Адыгея);87773
;Сергиевское(Республика Адыгея);87779
;Смольчев Малиновский(Республика Адыгея);87779
;Совхозный(Республика Адыгея);8772
;Старобжегокай(Республика Адыгея);87771
;Табачный(Республика Адыгея);8772
;Тамбовский(Республика Адыгея);87779
;Тахтамукай(Республика Адыгея);87771
;Тихонов(Республика Адыгея);87773
;Тлюстенхабль(Республика Адыгея);87772
;Трехречный(Республика Адыгея);8772
;Тульский РУПС(Республика Адыгея);8772
;Тульский(Республика Адыгея);87777
;Уляп(Республика Адыгея);87778
;Усть-Сахрай(Республика Адыгея);8772
;Хакуринохабль(Республика Адыгея);87773
;Хамышки(Республика Адыгея);8772
;Ханская(Республика Адыгея);8772
;Хапачев(Республика Адыгея);87773
;Хатажукай(Республика Адыгея);87773
;Хатукай(Республика Адыгея);87778
;Хачемзий(Республика Адыгея);87770
;Ходзь(Республика Адыгея);87770
;Цветочный(Республика Адыгея);8772
;Чернышов(Республика Адыгея);87773
;Шевченко(Республика Адыгея);87772
;Шелковников(Республика Адыгея);87770
;Шенджий(Республика Адыгея);87771
;Штурбино(Республика Адыгея);87778
;Шунтук(Республика Адыгея);8772
;Энем(Республика Адыгея);87771
;Яблоновский(Республика Адыгея);87771
===============
;Барнаул(Республика Алтай);3852
;Алейск(Республика Алтай);38553
;Алтайский(Республика Алтай);38537
;Баево(Республика Алтай);38515
;Белокуриха(Республика Алтай);38577
;Бийск(Республика Алтай);3854
;Благовещенка(Республика Алтай);38564
;Бурла(Республика Алтай);38572
;Быстрый(Республика Алтай);Исток(Республика Алтай);38571
;Волчиха(Республика Алтай);38565
;Горно-Алтайск(Республика Алтай);38822
;Горняк(Республика Алтай);38516
;Ельцовка(Республика Алтай);38593
;Заринск(Республика Алтай);38595
;Завьялово(Республика Алтай);38562
;Залесово(Республика Алтай);38592
;Змеиногорск(Республика Алтай);38517
;Зональное(Республика Алтай);38530
;Калманка(Республика Алтай);38551
;Камень(Республика Алтай);на(Республика Алтай);Оби(Республика Алтай);38514
;Ключи(Республика Алтай);38578
;Косиха(Республика Алтай);38531
;Кош-Агач(Республика Алтай);38542
;Красногорское(Республика Алтай);38535
;Краснощеково(Республика Алтай);38575
;Крутиха(Республика Алтай);38519
;Кулунда(Республика Алтай);38566
;Курья(Республика Алтай);38576
;Кытманово(Республика Алтай);38590
;Майма(Республика Алтай);38544
;Мамонтово(Республика Алтай);38513
;Михайловка(Республика Алтай);38570
;Новичиха(Республика Алтай);38555
;Новоалтайск(Республика Алтай);38532
;Новоегорьевское(Республика Алтай);38560
;Ондугай(Республика Алтай);38545
;Павловск(Республика Алтай);38511
;Панкрушиха(Республика Алтай);38510
;Петропавловское(Республика Алтай);38573
;Поспелиха(Республика Алтай);38556
;Романово(Республика Алтай);38561
;Ребриха(Республика Алтай);38512
;Рубцовск(Республика Алтай);38557
;Смоленское(Республика Алтай);38536
;Славгород(Республика Алтай);38568
;Советское(Республика Алтай);38598
;Солонешное(Республика Алтай);38594
;Солтон(Республика Алтай);38533
;Староалейск(Республика Алтай);38559
;Табуны(Республика Алтай);38567
;Тальменка(Республика Алтай);38591
;Тогул(Республика Алтай);38597
;Тюменцево(Республика Алтай);38518
;Топчиха(Республика Алтай);38552
;Троицкое(Республика Алтай);38534
;Одугай(Республика Алтай);38545
;У-Калманка(Республика Алтай);38599
;Угловское(Республика Алтай);38579
;Хабары(Республика Алтай);38569
;Целинное(Республика Алтай);38596
;Шабалино(Республика Алтай);38549
;Шелаболиха(Республика Алтай);38558
;Шипуново(Республика Алтай);38550
;Чоя(Республика Алтай);38540
;Абай(Республика Алтай);38848
;Актал(Республика Алтай);38842
;Акташ(Республика Алтай);38846
;Александровка(Республика Алтай);38844
;Амур(Республика Алтай);38848
;Анос(Республика Алтай);38841
;Балыктуюль(Республика Алтай);38846
;Балыкча(Республика Алтай);38846
;Барагаш(Республика Алтай);38849
;Белый Ануй(Республика Алтай);38847
;Бельтир(Республика Алтай);38842
;Беляши(Республика Алтай);38842
;Беш-Озек(Республика Алтай);38849
;Бешпельтир(Республика Алтай);38841
;Бийка(Республика Алтай);38843
;Бирюля(Республика Алтай);38844
;Верх-Апшуяхта(Республика Алтай);38849
;Верх-Бийск(Республика Алтай);38843
