АО "АКОС"
АО "АПЕКС"
АО "Воентелеком"
АО "ГЛОНАСС"
АО "ГлобалТел"
АО "КантриКом"
АО "Компания ТрансТелеКом"
АО "Севастополь Телеком"
АО "Теле2-Санкт-Петербург"
АО "ЭР-Телеком Холдинг"
Акционерное общество "Крымтелеком"
Акционерное общество "Тандер"
ЗАО "Вайнах Телеком"
ЗАО "Джи Ти Эн Ти"
ЗАО "Интерсвязь-2"
ЗАО "СанСим"
ОАО "АСВТ"
ОАО "МТТ"
ОАО "Сургутнефтегаз"
ООО "Аврора Телеком"
ООО "Антарес"
ООО "Арктур"
ООО "Астран"
ООО "БИТ-ЦЕНТР"
ООО "Белитон"
ООО "ВТБ Мобайл"
ООО "ВиКом"
ООО "ГЛОНАСС МОБАЙЛ"
ООО "Газпром телеком"
ООО "Глобал Телеком"
ООО "ЕКАТЕРИНБУРГ-2000"
ООО "Интеграл"
ООО "Интернод"
ООО "Иридиум Коммьюникешенс"
ООО "К-телеком"
ООО "КТК ТЕЛЕКОМ"
ООО "Квантек"
ООО "КватроПлюс"
ООО "Лайкамобайл"
ООО "Лардекс"
ООО "МАТРИКС телеком"
ООО "МОСТЕЛЕКОМ"
ООО "МСН Телеком"
ООО "Медиа-Маркет"
ООО "Метро-пэй"
ООО "МиАТел"
ООО "НЦИ"
ООО "Новые мобильные коммуникации"
ООО "Нэт Бай Нэт Холдинг"
ООО "ОБИТ"
ООО "Оранж Бизнес Сервисез"
ООО "ПИН"
ООО "Плинтрон"
ООО "РЕКОНН"
ООО "РЕТЕЙЛ ИННОВАЦИИ"
ООО "СВЯЗЬРЕСУРС-МОБАЙЛ"
ООО "СИМ ТЕЛЕКОМ"
ООО "СИНТОНИК"
ООО "Сбербанк-Телеком"
ООО "СевТелекомСвязь"
ООО "Скай Нетворкс"
ООО "СкайНэт"
ООО "Скартел"
ООО "Сонет"
ООО "Спринт"
ООО "Старт"
ООО "Т2 Мобайл"
ООО "ТВЕ-ТЕЛЕКОМ"
ООО "ТМТ"
ООО "ТРАСТЕЛ"
ООО "ТРН-телеком"
ООО "ТТК-Связь"
ООО "Тинькофф Мобайл"
ООО "Тривон Нетворкс"
ООО "Центр 2М"
ООО "Цифра Один"
ООО "Цифра групп"
ООО "ЭКО Нетворкс"
ООО "Элемтэ-Инвест"
ООО "Юнисел"
ООО "ЮнитТелеком"
ПАО "Вымпел-Коммуникации"
ПАО "МГТС"
ПАО "МегаФон"
ПАО "Мобильные ТелеСистемы"
ПАО "Ростелеком"
ПАО "Таттелеком"
ФГУП "Морсвязьспутник"
